muni_PK,codigo_muni,nombre_muni
1191,75558,Nicaragua
1192,75630,Puerto Rico
1193,75818,Egipto
1194,75826,Reino Unido de Gran Bretaña E Irla
1195,75858,Uruguay
1196,94663,Mapiripana
1197,75008,Albania
1198,75040,Austria
1199,75100,Bulgaria
1200,75152,Chile
1201,75174,Union de Las Comoras
1202,75188,Costa Rica
1203,75214,República Dominicana
1204,75380,Italia
1205,75600,Paraguay
1206,94887,Pana Pana
1207,75056,Bélgica
1208,75208,Dinamarca
1209,75328,Guyana
1210,75356,República de La India
1211,75372,Irlanda
1212,75388,Jamaica
1213,75620,Portugal
1214,75662,Santa Lucía
1215,75674,San Marino
